escuela,sostenedor,indicadorId,ambito,estado,valor
"Escuela Platón","SLEP Los Parques",I.41,A3,CONECTADO_CON_DATO,0
"Escuela Platón","SLEP Los Parques",I.42,A3,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.43,A4,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.44,A4,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.45,A4,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.46,A3,CONECTADO_CON_DATO,5
"Escuela Platón","SLEP Los Parques",I.47,A3,CONECTADO_SIN_DATO,
"Escuela Platón","SLEP Los Parques",I.48,A4,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.49,A4,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.50,A4,SIN_FUENTE,
"Escuela Platón","SLEP Los Parques",I.51,A4,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.1,A1,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.2,A1,CONECTADO_CON_DATO,4
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.3,A1,CONECTADO_CON_DATO,0.3076923076923077
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.4,A1,CONECTADO_CON_DATO,0.3076923076923077
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.5,A1,CONECTADO_CON_DATO,4
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.6,A1,CONECTADO_CON_DATO,1
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.7,A1,CONECTADO_CON_DATO,1
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.8,A1,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.9,A1,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.10,A1,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.11,A2,CONECTADO_CON_DATO,3
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.12,A2,CONECTADO_CON_DATO,0.425
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.13,A2,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.14,A2,CONECTADO_CON_DATO,0.5
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.15,A2,CONECTADO_CON_DATO,1
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.16,A2,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.17,A2,CONECTADO_CON_DATO,1
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.18,A2,CONECTADO_CON_DATO,1
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.19,A2,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.20,A2,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.21,A3,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.22,A3,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.23,A3,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.24,A3,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.25,A3,CONECTADO_CON_DATO,1
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.26,A3,CONECTADO_CON_DATO,12
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.27,A3,CONECTADO_CON_DATO,0.05
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.28,A4,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.29,A4,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.30,A4,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.31,A4,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.32,A4,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.33,A1,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.34,A1,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.35,A1,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.36,A2,CONECTADO_CON_DATO,6.6
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.37,A2,CONECTADO_CON_DATO,6.5
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.38,A2,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.39,A3,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.40,A3,CONECTADO_CON_DATO,0.5150602409638554
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.41,A3,CONECTADO_CON_DATO,0
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.42,A3,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.43,A4,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.44,A4,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.45,A4,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.46,A3,CONECTADO_CON_DATO,1
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.47,A3,CONECTADO_CON_DATO,6.9
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.48,A4,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.49,A4,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.50,A4,SIN_FUENTE,
"Escuela Pedro Aguirre Cerda","SLEP Santa Corina",I.51,A4,SIN_FUENTE,
"Escuela Profesor Ramón del Río","SLEP Santa Corina",I.1,A1,CONECTADO_CON_DATO,1
"Escuela Profesor Ramón del Río","SLEP Santa Corina",I.2,A1,CONECTADO_CON_DATO,5
"Escuela Profesor Ramón del Río","SLEP Santa Corina",I.3,A1,CONECTADO_CON_DATO,0.3076923076923077
"Escuela Profesor Ramón del Río","SLEP Santa Corina",I.4,A1,CONECTADO_CON_DATO,0.358974358974359
"Escuela Profesor Ramón del Río","SLEP Santa Corina",I.5,A1,CONECTADO_CON_DATO,5
"Escuela Profesor Ramón del Río","SLEP Santa Corina",I.6,A1,CONECTADO_CON_DATO,0
"Escuela Profesor Ramón del Río","SLEP Santa Corina",I.7,A1,CONECTADO_CON_DATO,1
